months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,days_since_policy,unknown_property_damage,unknown_collision_type,unknown_police_report_but_severe_damage,high_claim_without_witnesses,multi_vehicles_no_injury,no_police_report_but_severe_damage,zip_prefix,auto_make_model
328,48,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,YES,1,2,YES,71610,6510,13020,52080,2004,1,100,0,0,0,0,0,0,466,Saab_92x
228,42,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,8,1,,0,0,,5070,780,780,3510,2007,1,3130,1,1,0,0,0,0,468,Mercedes_E400
134,29,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,NO,2,3,NO,34650,7700,3850,23100,2007,0,5282,0,0,0,0,0,0,430,Dodge_RAM
256,41,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,,1,2,NO,63400,6340,6340,50720,2014,1,8996,1,0,0,0,0,1,608,Chevrolet_Tahoe
228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,,Minor Damage,UNKNOWN,NY,Arlington,20,1,NO,0,1,NO,6500,1300,650,4550,2009,0,256,0,1,0,0,0,0,610,Accura_RSX
256,39,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,64100,6410,6410,51280,2003,1,3004,0,0,0,0,1,1,478,Saab_95
137,34,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,,0,0,,78650,21450,7150,50050,2012,0,5336,1,0,0,0,1,0,441,Nissan_Pathfinder
165,37,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,,2,2,YES,51590,9380,9380,32830,2015,0,9155,1,0,0,0,0,0,603,Audi_A5
27,33,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,27700,2770,2770,22160,2012,0,6568,0,0,0,0,0,0,601,Toyota_Camry
212,42,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,NO,2,1,,42300,4700,4700,32900,1996,0,1260,0,0,1,0,0,0,600,Saab_92x
235,42,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,,87010,7910,15820,63280,2002,0,4608,0,0,1,0,0,0,462,Ford_F150
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,114920,17680,17680,79560,2006,0,5741,0,0,0,0,0,0,615,Audi_A3
60,23,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,YES,1,0,NO,56520,4710,9420,42390,2000,0,6272,0,0,0,0,0,1,432,Saab_95
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,,Minor Damage,UNKNOWN,SC,Springfield,5,1,NO,1,1,NO,7280,1120,1120,5040,2010,0,804,0,1,0,0,0,0,464,Toyota_Highlander
180,38,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,NO,0,2,YES,46200,4200,8400,33600,2003,1,5862,0,0,0,0,0,0,476,Dodge_Neon
473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,63120,10520,10520,42080,1999,1,8137,0,0,0,0,1,1,458,Accura_MDX
70,26,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,,1,2,YES,52110,5790,5790,40530,2012,0,3546,1,0,0,0,0,0,619,Nissan_Maxima
140,31,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,NO,0,2,YES,77880,14160,7080,56640,2015,0,3704,0,0,0,0,0,0,470,Suburu_Legacy
160,37,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,YES,1,0,NO,72930,6630,13260,53040,2015,0,22,0,0,0,0,0,1,472,Accura_TL
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,,2,0,NO,60400,6040,6040,48320,2014,0,8239,1,0,0,0,0,1,477,Nissan_Pathfinder
460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,,47160,0,5240,41920,2011,0,4573,0,0,0,0,0,0,618,Suburu_Impreza
217,41,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,,1,2,,37840,0,4730,33110,1996,0,3362,1,0,1,0,0,0,442,Accura_RSX
370,55,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,NO,0,0,YES,71520,17880,5960,47680,2000,1,7534,0,0,0,0,1,0,443,Suburu_Forrestor
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,,2,2,,98160,8180,16360,73620,2011,1,8746,1,0,1,0,0,0,453,Dodge_RAM
237,40,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,NO,1,3,NO,77880,7080,14160,56640,2005,0,6962,0,0,0,0,0,0,434,Ford_Escape
8,35,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,NO,1,3,YES,71500,16500,11000,44000,2006,1,400,0,0,0,0,0,0,613,Ford_Escape
257,43,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,,Minor Damage,Police,PA,Arlington,4,1,YES,1,3,YES,9020,1640,820,6560,2005,0,8896,0,1,0,0,0,0,436,Toyota_Camry
202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,,Minor Damage,UNKNOWN,VA,Northbrook,5,1,YES,2,1,,5720,1040,520,4160,2003,1,4556,0,1,0,0,0,0,607,Suburu_Forrestor
224,40,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,NO,1,0,YES,69840,7760,15520,46560,2009,0,9100,0,0,0,0,0,0,609,Dodge_Neon
241,45,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,NO,2,2,NO,91650,14100,14100,63450,2011,0,348,0,0,0,0,0,0,432,Accura_TL
64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,,75600,12600,12600,50400,2005,0,5448,0,0,1,0,1,0,473,Toyota_Corolla
166,37,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,NO,2,2,,67140,7460,7460,52220,2006,1,2445,0,0,1,0,0,0,610,Ford_F150
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,29790,3310,3310,23170,2008,0,4225,0,0,0,0,0,1,614,BMW_3 Series
114,30,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,NO,1,2,,77110,14020,14020,49070,2015,0,8315,0,0,1,0,0,0,472,Suburu_Impreza
149,37,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,YES,0,1,YES,64800,10800,5400,48600,1999,0,8796,0,0,0,0,0,0,603,Audi_A3
147,33,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,YES,2,0,YES,53100,10620,5310,37170,1995,1,1630,0,0,0,0,0,0,479,Mercedes_C300
62,28,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,,1,1,YES,60200,6020,6020,48160,2004,1,4324,1,0,0,0,0,0,430,Suburu_Forrestor
289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,,Minor Damage,UNKNOWN,WV,Arlington,16,1,NO,1,1,YES,5330,1230,820,3280,2001,0,8019,0,1,0,0,0,0,620,Suburu_Legacy
431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,,2,0,,62300,12460,6230,43610,2007,0,4440,1,0,1,0,0,0,615,Jeep_Wrangler
199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,,0,3,NO,60170,10940,10940,38290,2011,1,6374,1,0,0,0,0,1,474,Nissan_Pathfinder
79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,,40000,8000,4000,28000,2010,0,7180,0,0,0,0,0,0,456,BMW_M5
116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,,1,1,,97080,16180,16180,64720,2001,1,854,1,0,1,0,0,0,470,BMW_X5
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,5740,5740,40180,2010,0,3183,0,0,0,0,0,0,441,Dodge_RAM
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,51120,5680,5680,39760,2005,0,4321,0,0,0,0,0,1,433,Mercedes_E400
269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,,56400,11280,11280,33840,2014,0,2628,0,0,0,0,0,0,468,Toyota_Highlander
265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,,55120,6890,0,48230,2002,0,3106,0,0,1,0,0,0,459,Accura_MDX
163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,,77110,0,14020,63090,2014,0,9172,0,0,1,0,0,0,472,Honda_Civic
355,47,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,62800,6280,6280,50240,2003,1,9064,0,0,0,0,0,1,433,Audi_A3
